row_index,provenance,detrended,trendDetectedForDetrend,status,problem_count,warning_count,problems,warnings,raw_path,detrended_path
3070,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J141247.46-654334.2_TIC_333025531_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J141247.46-654334.2_TIC_333025531_TESSCut_detrended.fits
3071,QLP,False,False,ok,0,0,,,,
3072,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_SSS_J074952.3-550849_TIC_264773564_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_SSS_J074952.3-550849_TIC_264773564_TESSCut_detrended.fits
3073,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J192109.53+130817.4_TIC_276441327_TESSCut_raw.fits,
3074,QLP,False,False,ok,0,0,,,,
3075,QLP,False,False,ok,0,0,,,,
3076,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_WISE_J025915.4+644527_TIC_286331238_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_WISE_J025915.4+644527_TIC_286331238_TESSCut_detrended.fits
3077,QLP,False,False,ok,0,0,,,,
3078,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J153212.07-341832.8_TIC_89071523_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J153212.07-341832.8_TIC_89071523_TESSCut_detrended.fits
3079,QLP,False,False,ok,0,0,,,,
3080,QLP,False,False,ok,0,0,,,,
3081,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J181430.76-393818.2_TIC_502688320_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J181430.76-393818.2_TIC_502688320_TESSCut_detrended.fits
3082,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J205243.64+342007.9_TIC_236097637_TESSCut_raw.fits,
